symbol,date,price
VegC,2012-06-22 22:48:31 UTC,1
VegD,2012-06-22 22:48:31 UTC,24
VegA,2012-06-22 22:48:41 UTC,595
VegB,2012-06-22 22:48:41 UTC,99
VegC,2012-06-22 22:48:41 UTC,1
VegD,2012-06-22 22:48:41 UTC,24
VegA,2012-06-22 22:48:51 UTC,595
VegB,2012-06-22 22:48:51 UTC,97
VegC,2012-06-22 22:48:51 UTC,1
VegD,2012-06-22 22:48:51 UTC,24
VegA,2012-06-22 22:49:01 UTC,595
VegB,2012-06-22 22:49:01 UTC,97
VegC,2012-06-22 22:49:01 UTC,0
VegD,2012-06-22 22:49:01 UTC,24
VegA,2012-06-22 22:49:11 UTC,595
VegB,2012-06-22 22:49:11 UTC,98
VegC,2012-06-22 22:49:11 UTC,0
VegD,2012-06-22 22:49:11 UTC,25
VegA,2012-06-22 22:49:21 UTC,595
VegB,2012-06-22 22:49:21 UTC,97
VegC,2012-06-22 22:49:21 UTC,1
VegD,2012-06-22 22:49:21 UTC,24
VegA,2012-06-22 22:49:31 UTC,595
VegB,2012-06-22 22:49:31 UTC,97
VegC,2012-06-22 22:49:31 UTC,0
VegD,2012-06-22 22:49:31 UTC,24
VegA,2012-06-22 22:49:41 UTC,595
VegB,2012-06-22 22:49:41 UTC,97
VegC,2012-06-22 22:49:41 UTC,1
VegD,2012-06-22 22:49:41 UTC,24
VegA,2012-06-22 22:49:51 UTC,595
VegB,2012-06-22 22:49:51 UTC,97
VegC,2012-06-22 22:49:51 UTC,1
VegD,2012-06-22 22:49:51 UTC,24
VegA,2012-06-22 22:50:01 UTC,595
VegB,2012-06-22 22:50:01 UTC,98
VegC,2012-06-22 22:50:01 UTC,1
VegD,2012-06-22 22:50:01 UTC,25
VegA,2012-06-22 22:50:11 UTC,595
VegB,2012-06-22 22:50:11 UTC,97
VegC,2012-06-22 22:50:11 UTC,1
VegD,2012-06-22 22:50:11 UTC,24
VegA,2012-06-22 22:50:21 UTC,595
VegB,2012-06-22 22:50:21 UTC,97
VegC,2012-06-22 22:50:21 UTC,1
VegD,2012-06-22 22:50:21 UTC,24
VegA,2012-06-22 22:50:31 UTC,595
VegB,2012-06-22 22:50:31 UTC,97
VegC,2012-06-22 22:50:31 UTC,1
VegD,2012-06-22 22:50:31 UTC,25
VegA,2012-06-22 22:50:41 UTC,595
VegB,2012-06-22 22:50:41 UTC,98
VegC,2012-06-22 22:50:41 UTC,0
VegD,2012-06-22 22:50:41 UTC,24
VegA,2012-06-22 22:50:51 UTC,595
VegB,2012-06-22 22:50:51 UTC,98
VegC,2012-06-22 22:50:51 UTC,0
VegD,2012-06-22 22:50:51 UTC,24
VegA,2012-06-22 22:51:01 UTC,595
VegB,2012-06-22 22:51:01 UTC,97
VegC,2012-06-22 22:51:01 UTC,1
VegD,2012-06-22 22:51:01 UTC,25
VegA,2012-06-22 22:51:11 UTC,594
VegB,2012-06-22 22:51:11 UTC,96
VegC,2012-06-22 22:51:11 UTC,1
VegD,2012-06-22 22:51:11 UTC,24
VegA,2012-06-22 22:51:21 UTC,595
VegB,2012-06-22 22:51:21 UTC,97
VegC,2012-06-22 22:51:21 UTC,0
VegD,2012-06-22 22:51:21 UTC,24
VegA,2012-06-22 22:51:31 UTC,593
